Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
FIRDOUS (ARMAAN),5,In my visit as solo I got all the information from staffs they were really good. It's clean I don't like the safari trip animal was always hiding.you need at least 3 to 4 hours to see all. The best part of this zoo is bird paradise where all the birds are free and we are allowed to go inside.
HARISH,4,nice and big garden...you can visit full garden via a small train in ntr garden with a nominal fee..
Mdeweyer,3,The statue on the island in the middle of the lake is impressive. The lake is dirty and the boat just takes you from the park to the island and back. Takes 15 minutes.
casandeep,5,If you are visiting Hyderabad this place you must visit. Though you will have to walk a lot but its worth to do so.  Taking a guide along is must if you really want to understand the rich history and the beautiful architecture. How things were visualized 500 years back is simply unbelievable.
Manoj43_11,4,A massive lake in the centre of Hyderabad city is good to visit in the evening time. Large statue of Lord Buddha in the lake is main attraction. The park is also nice and you can spend some time here or go for boating.
Shailendra,3,Hussain sagar lake used to be a place to visit on our weekend drives when we came to Hyderabad in 2003 but over the last few years the lake has deteriorated due to lack of cleaning and resultant smell.No more a place worth a watch. 
Journey12917984623,5,It's very nice experience of all rides & especially  for family can njoy a lot & specially try the rollercoaster 
sow,4,Visited with family many times...The dance shows . Games... N all other shows are excellent..Had a great time
seedhunter,3,"Few months back, it was full of water hycanth. Now it has been removed. Water is still smelling and needs to be cleaned. Otherwise it's location is excellent in near Inorbit Mall. There is boating facility also."
jojo,4,We visited the fort in the noon time. Ticket was Rs 25 per adult. It was almost crowded. But it was properly maintained. The fort was very beautiful and has historical importance. Having a majestic look spread over with memories of the past. Excited crowds being busy with photographs and the excellent scenic background.Guides were available.
vikram a,3,difficult to travel with kids the area of the zoo is big to cover all animals no food inside the park
ShvRm_Traveller,4,"It is a man made lake, built some time in 16th Century and which separates Hyderabad from Sikanderabad. The large monolith statue of Buddha stands tall on an island in the middle of the lake. There are parks, gardens and many other landmarks located on the bank of the lake.This is one of the well known landmark of city of Hyderabad and is visible from the many high points in the city."
Guruswami,4,Superb experince in wonderla...we loved wonderla we came with our family its a superb duperb experince...🤗
TamilAmerican,3,"This family friendly huge entertainment zone was unique. Right from the entry, where we were given chocolates and sets to take interesting themed photos, the trip was amazing. A van took us to different points like Alauddin ride, shows about making the movie, sets where each entrance was a different building etc. The guide was charming and explained the significance of different spots along with the famous movies directed there. The gardens were spacious and well maintained. The best part of the trip was the Bahubali set. We loved the magnificent ensemble."
NIL_MODI,4,Beautiful garden. Nice place. One should visit in the evening. nicely maintained. entry charge is there. small rides are also available at extra charge for kids.
Ratan,5,It was a very true experience to see the remains of our History rich in culture and construction technique...
Shubham Mishra,5,"For theists, come for lord Venkateshwara's blessings+ breathtaking view of Hyderabad. For atheists, come for breathtaking view of Hyderabad."
pvrkaushik,4,"Dense Green park in the heart of the city... Couple retreat... And great place for kids too... Fun rides, eatery etc... U can beat the heat with this place's greenery"
jainms,4,Lot of animals found in this zoo which is large in area. Enjoy the place with kids and family. Weekend is bit crowd visit.
moogul818,5,"It is one such place of worship where a sense of calm descends on you as you enter. Located at a relative height on the bank of the Hussain Sagar lake, the temple offers a good view. It is neat clean and well managed.You are not harassed by vendors and once you are on the steps of the temple you can be on your own.I would recommend it for a visit when in Hyderabad."
LostMySelfTraveling,5,I love this park. It's a fantastic memorial of Shri Naandamuri Taraka Ramarao Ex. CM OF Andhrapradesh. It's a must vist place in Necklace Road. It's also close to Imax multiplex theatre. Children will enjoy the park alot. Very well developed and beautifully maintained park. 
Road62049353623,2,"The entry fee and food inside  are too costly. For a four member family, if you just ignore this place, you could visit almost all other tourist attractions in Hyderabad with the same expenditure if you have visited this film city. This place is definitely not for budget tight family. Entry fee of 200 rs for adult and 100 rs for child  are just good enough."
Chandra J,5,Easy trek up hillside unless you have problems navigating stairs.  Great views of the city and of the whole area.  Helpful with a guide so you know what you're looking at
SAROSH SAM B,5,This is a senic and quiet place for relazation for the entire family and the hills overlook it make is a exiting place
rggg,5,Good:-1. Amazingly peaceful place2. You get to see panaromic views of Hyderabad 3. Very well maintained and clean4. No tickets5. Nice breeze flowing Only thing which we missed is our mobile phones. Some pics would have been great. 
Vikas Singh,5,"Beautifully maintained, the temple is perched on a small hill top. It makes creative use of the rocks and the hill side. Views from the top are breathtaking. Cameras and mobiles are not allowed. You can deposit them in the free locker facility. Go early around 9-10 am before the place starts getting crowded."
KARTHIK I,5,I really love the neatness and maintenance of this place. Chants all over really well managed place. Good seating place and really clean.You can have a good view of tankbund and hyderabad early in the morning from the temple.I recommend everyone to visit atleast once.
Karthik,5,Feels good at all rides enjoined a lotSo good to see the places Good for friends and families to visit
pvrkaushik,4,"Dense Green park in the heart of the city... Couple retreat... And great place for kids too... Fun rides, eatery etc... U can beat the heat with this place's greenery"
itspriyanka,4,"We went on a weekday when school kids were there for picnic. The experiments were good. Our 6 yr old son enjoyed the ones he understood. Some of them were for older kids. Some machines were not working. The dinasorium was good too, with real fossils / bones and real skeleton. We did not visit the doll museum and anthropology section though...And if you are visiting around lunch and do not have your own vehicle, make sure you pack some lunch. Food is allowed inside the museum. There are only some small shacks outside which serve snacks."
SrijitNewYork,,"Went to the Charminar in the early hours of the day (around 7:30am). It was perfect timing. No traffic, no crowds, no bustle in the adjoining markets... Basically, it was easy to get in and out. I've been here three times before and as always, the Charminar was under repairs, this time around too. There was a scaffold around three sides of the monument. So a good selfie wasn't possible. However, it felt good to walk around it and have an Irani tea and a wedge of Dilkhush (bread stuffed with dried fruits) as an early breakfast from one of the many tea shops in the area. I hung around for less than an hour before heading over to my next destination. "
bharadwaj8008,5,"This is one of the finest places at Hyderabad this is a Hindu worship temple, but attracts all sorts of communities and tourist. One can see whole Hyderabad from Top of this Mandir nice location."
Natarajan K,4,This zoo is located in large space. Enjoyed the ambiance and well maintained zoo. It has a boating behind the park. It's best place to go out friends and family.
NG,1,Very sad state of garden - totally run down - absolutely avoidable - lovely trees n horticulture but on the whole sad.
Dr Manoj Swaminathan,5,"Kids will simply enjoy the various rides, which are indeed cost effective. Better to visit after 5PM."
Traveler23278189143,5,It was amazing trip and we loved all the rides must go and fun food was great staff were really helpful 
bhaskara,3,"A very crowded place with roadside shops. Also, the issue with beggars, they simply touch you and don't leave until you Pay. Avoid going there on Weekends or festival times. Be careful with your mobile and money. No proper maintenance and respect for tourists in this area. 
The view is good from inside and outside Charminar. The only issue is no maintenance and officials seem to get used to it, so they don't care about beggars and robbers who are troubling travelers. 
Use only Ola or Uber if you are traveling alone or with family. Autowala charges double the cost here. 
Old age people, avoid climbing Charminar. The steps are very deep and the width is very small. They will inform you only at the entry, so you may lose money if you decide not to climb after purchasing tickets. "
AbhiMone,5,A well maintained park with many rides to keep children and adults engaged .  It's very big and walking tour takes 3 to 4 hrs
Sajid,4,"The building, the structure is awe-inspiring and to think that it stands there for more than 4 centuries is amazing. What disappoints though is the fact that like most of the places in India, this monument is also not being maintained properly. I fail to understand, why do we find it so difficult to maintain our heritage. This is such an amazing piece of architecture, yet the neglect from authorities is glaring."
Varun Pursnani,4,"My cousin and I came here for a short visit as we were late for planetarium and surprisingly it was so good from inside that we continued our tour for a much longer time.For science, mathematics, astronomy etc. different different topics each concept was explained very nicely and creatively.Overall it was a very enjoyable and worth our time!!"
Lokesh1981,5,"A very big garden cum park in front of Hussain sagar lake, one of the prominent attraction of Hyderabad, one can see Buddha statue and Birla temple both, Nicely maintained, many varieties of flowers, many options for children to play, haunted house, many rides, water tunnel etc, The best part is one toy train which gives a glimpse of entire park, In nutshell best place to enjoy time with family and friends specially kids, "
Vaishnavi_g,5,"Dont ask a local hyderabi about visiting this place. They say, what is there in it !!! But believe me it is really wonderful for an outsider. You will be taken through a guided tour, and you will get to see cine-settings, best of it is, Bahubali setting, Mahabharata, Ramyana... Then you will have a 4D show... Eco park where for the first time I saw the birds , geese etc left to freely fly around although inside a fenced area. You can just walk through them...Got to hold a maccaw in hand.... And adventure rides.... Worth giving an entire day for it.     Dont bother if a local says, dont waste your one day on it. Just go for it. It is worth going atleast once here. "
Primal Survivor,3,The major attraction of the city . Designed for families outings. The lake is littered with muck. Strange smell follows. Upgradation process is on causing traffic snarls . Only if response tourism was followed . Sad the visitors don't care. 
73prashantha,4,Not as good as Vishweshwarraya museum in Blore. They repeat the same stuff over and over again.Worth visiting once.
HARISH,4,nice and big garden...you can visit full garden via a small train in ntr garden with a nominal fee..
Kishore W,2,Its but on a grand  scale but ppl dobt maintain cleanliness at all  they litter everywhere...and hardly use garbage cans...the toy train was fun..but wish ppl start realizing the importance of cleanliness
Ashish G,4,"Ramoji Film City is a wonderful experience and a must visit. I'll list down some delighters and things that can be improved based on my experience.  Pros first1. Lots of things to do and experiences to have. 2. The shows are very impressive. Spirit of Ramoji, Wild West were in particular very nice. 3. There were a good amount of rides for children and adults to enjoy. 4. The eco park was very good, especially the bonsai collection was amazing to see. 5. Haunted house was a good experience for kids. Things that can be improved1. The brochure was very confusing. There is no way you can cover all the things in Ramoji in a day, so the brochure should give more detailed information which helps the people to choose based on their interest. 2. We took the star experience package which was the more expensive one. However they kept passing us from one person to other person without anyone explaining what is the plan for the day. Even on asking they were not interested to answer and just kept pointing to someone else. It felt we missed out on lots of things simply because no-body told us. Also the bus was so overcrowded that everyone did not even got a seat and lots of time was wasted in sorting that out. The star experience didn't feel worth the money and I felt I would have been better off with a regular ticket and planning the day myself, rather than leaving it to the star experience providers. 3.  Don't think this falls under the jurisdiction of Ramoji, but the travel to and from Ramoji was a big headache. We booked a ticket via BestBus which seemed to show on their site that they are the official partners with Ramoji. However it was a bad experience, as they kept asking us to change pickup point without realizing how difficult it would be for someone to reach different pickup point at short notice. Even while drooping off they didn't drop us at our designated dropping point. I would strongly suggest giving BESTBUS a skip and find another option to reach there."
Ratan,5,Very rich Architecture and good to see the affordable price for purchase of Laccar bangles and other textile materials nearby.
EASWAR52,3,"Golconda fort is one of the very old structures in Hyderabad. This is spread over a huge area. Here we can enjoy the beauty of olden constructions, their architectural richness and their technological knowledge. The complex is provided with a compound wall of olden times all-round which gives a clear picture of the past life.It contains past structures which includes gate ways, bastions, royal palace, durbar hall etc which takes us to the past era. The water supply system present here and defensive mechanisms provided are really wonderful.Here one can experience the perfect acoustics provided in the structures. The fort displays past history. Last but not the least is the fact that one must be ready to walk for long distances to cover the vast area of the fort.Overall, it is worth spending time in the fort to understand the past and to gauge the technological richness of India in the olden days.Great experience."
None I,2,"Such a great gift of nature to the Hyderabad city and particularly the Madhapur and Gachibowli area but it's a pity that the lake won't live for long.  There is dirt and filth all around. It's getting converted to a drainage, a garbage dumping area.  I was very disappointed to see this state of a natural resource."
madhavi2022,5,read up before you go - guides are scalpers. Reach early to dodge the heat and crowds! Mask up as poor social distancing
Aditi A,2,Superb place and great shows . The only and major draw back is that they are not wheelchair accessible. Thats something basic .
Tarun,4,We visited here on my younger son's birthday with family. We first enjoyed the Lumbani Park and took tickets for boat ride on kids demand. We went upto the Lord Buddha statue. Children enjoyed there for sometime. We took many selfies. It is good to photography and visit with children. All of us enjoyed a lot.
Najeeb Ahmad,5,"Charminar is an iconic monument located in the heart of Hyderabad, India. It is a famous tourist attraction that draws visitors from all over the world. The monument was built in 1591 and has since become a symbol of the city's rich history and culture. 
The structure is a beautiful example of Islamic architecture, with four minarets that rise to a height of 56 meters. The monument is surrounded by a bustling market known as Laad Bazaar, where visitors can shop for traditional clothing, jewelry, and handicrafts. 
Charminar is well-maintained and provides a range of facilities to visitors, including audio guides, restrooms, and drinking water facilities. The monument's interior is not open to visitors, but the stunning exterior is a sight to behold. The area around Charminar is vibrant and lively, with street food stalls selling delicious local delicacies. Visitors can also explore the nearby historical landmarks such as the Mecca Masjid and the Chowmahalla Palace. 
The monument is open to visitors from 9:30 am to 5:30 pm every day, and there is a small entrance fee for non-Indian visitors. 
Overall, Charminar is a must-visit tourist destination that showcases the rich cultural heritage of Hyderabad. The monument's stunning architecture and the bustling market around it make for a memorable experience for visitors. ----------------------- ✍️📸mr_najeeb_07 "
PKB,5,"I like this place, statue in the middle of water, such beautiful environment, area is getting ready.  "
Jet36110409852,5,We didn't even expected the wonderla will be this amazing.Rides are very amazing and never experienced these rides anywhere. I want to visit again and again.Worth for the money.
Rasik shah,5,Nice beautiful Mandir. Great entrance to see god idols clearly. Well organized in & out door  . Big tall ceiling. I will recommend to my friends and family to visit this temple
Praveen K,5,"Visit to this magnificent fort is incomplete without attending light & sound show in the evening, which tells the story of fort and the city"
Murali M,3,"We went to Zoo on Christmas day 2018 and as expected it got crowded as the day progressed. We reached there early and good thing we did, as we didn't have to wait for battery car or train or long queue at entrance. Few changes from last time I visited.1. They used to allow our own vehicles inside, Now you have to park and remember to reach early if you are going on a public holiday or weekend.2. No plastic allowed inside. Any plates, covers, bags are strictly prohibited. 3. Best time to reach there is 9:00 AM. 4. Don't expect much in safari. There is nothing to it and I recommend you skip it unless you hear of any improvements/changes.5. Vast area so be prepared to walk even though you have rented battery car, they operate from point to point but you still need to walk around quite a bit.Overall, I feel neatness has improved with plastic and vehicle ban, having said that what this zoo needs is more animals :-) Hope they can bring in more attractions as it has potential to go long way."
Dreamer20627251882,5,"We friends have enjoyed the day in Wonderla alot especially in crazy cars ,recoil rollercoaster, Mission Interstellar ride alot . It was an amazing experience in the Wonderla . "
Vaishnavi_g,,"Charminar looks well maintained from outside. Impressive structure. But not worth going in and climbing up. Interiors are not well maintained. You get pigeon smell. I guess the whole hype around charminar is for the huge flee markets and other shopping areas around it. Where you you can shop just everything from clothes, pearls, bangles and other collectibles. Otherwise you can just watch this on postcard. Not worth investing time. "
Mutukuloju Pranay,4,"Beautiful lake with the statute of buddha at the center .much contaminated,[polluted.you can see the watercolor is black and green.need to cleaned first"
Seaside50789431025,5,"Really a great experience , we enjoyed a lot in rain disco and missin interstellar was really out of the space "
Himanshu S,5,"It is temple of Lord Vishnu, made in white marble, with other deities like Ganesha, Hanuman, Sai baba in separate smaller temples. Thee is lift facility for elderly people. Very well managed, excellent visit. Good to visit in the evening."
Chandra J,5,Easy trek up hillside unless you have problems navigating stairs.  Great views of the city and of the whole area.  Helpful with a guide so you know what you're looking at
Culture36590785733,4,Experience was good. Enjoyed the rides. Could have more rides. Some are not yet open. But most of the water rides are good and thrilling. Nice place for weekend with your mates.
Raja vishnu vardhan Reddy (visrey),5,Seeing Charminar in a normal time is just like attending a fair with thousands of people bustling without even inch space. Best way to see Charminar without the crowd is visiting it after 12 though you can't actually enter inside charminar late night but it's a good measure to avoid crowd because of the covid and you can see no one wearing a mask in your vicinity if you are there in normal times.
Mukta2016,4,The NT Ramarao garden in Hyderabad is a nice garden located along one section of the bank of Hussain Sagar Lake and gives a nice view of the lake. The garden has many visitors cumming in the evening for a pleasant time.
Santosh K,5,Nice and awsome view to be seen and must witnessed on night as it gives an awesome and very attractive view on night.
casandeep,5,If you are visiting Hyderabad this place you must visit. Though you will have to walk a lot but its worth to do so.  Taking a guide along is must if you really want to understand the rich history and the beautiful architecture. How things were visualized 500 years back is simply unbelievable.
Sardev2014,4,Worth a visit and buy a guide if you can. Charminar is a four pillared historic site that is accessed via steep and narrow steps. There are two levels but you can only access the first level. Views are spectacular and give nice overview of Hyderabad 
Amol S,1,"We visited this place with lot of expectations but were left very disappointed with overall experience!Total ticket cost for family of 2 adults and 2 kids was 5400 for absolutely nothing worth mentioning to see Horror starts right from beginning when u are asked to park car 5 kms away from main premise. From there all tourists are put in outdated buses like prisoners and taken to main film city area .So once you are in you just can not leave place without going through entire torture. Guided tour lasts only about 30 mins and after that you are left there from point to point to explore nothing. Adventure sports area sports like paintball , archery are all useless. For paintball just one person standing there asking u to shoot 3 shots on target . Archery session arch set looks like it is third class china toy bought at 100 from local market. That also only one ser is there. In short what is included in ticket is all useless stuff but advertised by Mr Ramoji as if its out of the world Sahaj adventure sports .For kids only space yatra which lasted for 5 mins and bird park was only area worth mentioning.In addition like prisoners you are not allowed to carry any food inside . Firstly with exorbitant ticket cost now they like are further allowed to take more money from your pocket.Restaurant called Jimmy is total useless with third grade food at five star prices .Worst is you cant leave place as you are stuck there !!Pls avoid avoid and donate money to some needy !!!"
Srinu,5,The only best place in world that is wonderla. We visited to this place many times but it never bores us all the rides are amazing and the service is the best from management like everytime.
sanjib c,5,Had a wonderful experience. The place was very well maintained and the tour guides are very well informed about the place. staff are very helpful and the food served in the restaurants are good.I would however suggest the management to be a bit more strict on the littering by the visitors in the park. It was a shame to see educated people littering the place with water bottles and disposal bags. 
Brijendra Singh B,5,Architect quality is excellent but area around this place is not very clean. Lot of small shops have mushroomed around the area.
Niya1315,3,"If you are roaming in the Hyderabad city, you will definitely see this lake. The iconic Buddha statue is in the middle of this lake."
Tejisaji,4,"Yes very nice, peaceful place to visit. and best is they have an elevator for the senior citizen as well but make it sure they don't charge anything from you because it is free "
neeebeee,5,"Ramoji Film City Bus Ride was my favorite thing to do during our stay. It was a Harley HoG Rally and we spent 2 days in Ramoji Film City. It's a must stay place for all travelers. The ambience, the location, the spread and specially Bahubali Area makes you feel speechless.Loved our stay and will cherish for a long time."
Discover49900872380,5,We would like to have more photo shoots The line should be strictly followedCouples should be kept seperate throughout 
DrSaritha,,Time waste.... Dont go through Telangana tourism route...they charging 50rs per person... Not worthy that much amount.... Go GHMC gate  in front of lake....I am giving only 1⭐ only.....
Vinki K,5,Not wrong if I say that Charminaar and the area nearby is Hyderabad Ki shaan. Great view of old city from top. Awesome markets in premises. Great food and tea nearby. 
Mr. Himanshu Sinha,5,"Golkunda Fort is Hugeee, it's like a day activity, if you want to explore each and every corner of it, I went to the peak of it and came down in around 2 hours, the fort is still in good shape. whenever you visit here you will find the fort is always filled with people, I didn't saw much police or staff to take care. People throw garbage here and there, making reels, dancing and all. everyone is living and loving these place only for the Views."
Krishna Sandeep Siram,5,"I visited Ramoji film city 15 years back, At that time it was a great experince and recently I visited with my friends, this time I felt like I visited another world, What a drastic change in these yearsA huge campus, beautiful sets, good presentation of art of film making, audience involvement, the full entertainment package. Must watch for kids. Descent food choices. Be cautious with elderly as they lack sufficient wheel chairs, support, elderly friendly ramps. Carry sufficient water and be prepared for a good walk and good time"
madhavi2022,5,read up before you go - guides are scalpers. Reach early to dodge the heat and crowds! Mask up as poor social distancing
Sunil,4,The best place to vist in hyderbad and its too huge to coverall the place since the ramoji city and they have well maintained.its worth every penny 
Sreedharan N,4,"Birla temple dedicated to Lord Venkateshwara of TTD  Temple is said that a whopping quantity of white marble, which is almost 2000 tonnes, was brought from Rajasthan for building this temple white marble, They are actively involved in welfare programmes, charity programmes.."
Andrew D,4,"Compared with other forts in India, Golconda is not particularly different but it does have a good view of the surrounding areas from the top. That being said, I would still recommend a visit to the Golconda Fort for a taste of how lives must have been during the nizam's times."
vasant agshikar,5,I visited the fort and took a guide who provided me good enough about the fort. It is advisable you negotiate with the guide .the fort is well maintained and one can enjoy the view from various levels of the fort. The view from the top most point of the is awesome. The 700 step well is an uphill tasks if your having health issues like heart BP etc kindly avoid taking the stairs. The architectural is amazing and the science behind construction is also an interesting subject to study to know how advance we were then. It would take you 2 hrs to cover the entire area with enough rest and photography.
dr ganapathi bhat,5,"Pristine and huge structure made of marble. At a height, so gives a good city view and an outstanding Hussain Sagar lake view.Vast car parking. There are some steps to climb, but lift is available. Employees are very friendly.Idol of Lord Venkateshwara is magnificent. There are also idols of different dieties that are simply superb.No entry fee. Camera is not allowed  inside the Mandir. There is a counter to keep your belongings.  Hand bag and purse are permitted. About 45 minutes would suffice to cover the entire Mandir.  Inside, a serene feeling should be felt to be believed.An idol shop in  the premises can be visited.  In Hyderabad, don't miss Birla Mandir. Best to go in the night. "
Sharat Chandra K,5,Charminar is greatest place in Hyderabad wow nice india lovely super fantastic Great Historical History wonderful superb 
queenspr,3,"Was told we will be watching a live shoot, didn't happenThe Film city is huge but the tour is nothing but a gigantic park with various attractions "
Chitranjan G,5,"The Theme Suite, the location, the cleanliness, car parking, courteous staff etc were to my satisfaction. I have always enjoyed my stay at Sitara. I enjoy nature walk and it offers plenty to bask in the sun or just get ""Me Time"" in the nature."
Abhishek Sharma,5,one of the best palces to visit during you stay in hyderabad.Dont visit on weekends as it will be overcroweded.
Curious785091,,This is a nice lake with lots of stuff around it.  There are boats that you can ride in too.  Parks along the sides of the water - very nice!
leelaneeraj1,5,"Very peaceful place ,I like the morning yoga session. Near Buddha, thanks to Isha foundation for arranging this,"
OctOriental,4,"Straightaway you get a feel of history of an old fort. It looks good as well, spanning a great distance from left to right. But do beware, there are several spots where the guards warn you not to venture into as some stone structures have loosened up and could collapse. Some people disregard the warnings. Well...The fort has toilets. Climbing a few steps does afford good views. But you could go all the way up. Guides are there everywhere and could try to inveigle you by authoritatively directing you away from your chosen path as if it's not the way to go. It's easy to shake them off. Just ignore. But if you have a lot of time to spend there and are interested in history, apocryphal or not, maybe a guide could be helpful. But at the entrance there's a stone with brief history inscribed on it. Do read it to get some first hand history."
Saurabh M,4,"Exploring Telangana........Hyderabad..... At the famous Golkonda fort......How to reach can take a auto or ola directly there....... Golconda Fort Hyderabad is an outstanding example of brilliant engineering and magical architecture. Located at a distance of 11km from the city, it is the most famous of all Hyderabad tourist places. The name of the fort has been derived from the Telugu words ""Golla"" and ""Konda"" which together means 'Shepherd's Hill'.An impressive structure, which once, would have bewitched every onlooker, stands majestically even today. Golconda Fort is sure to impress you with not only with that highly advanced techniques were used back then and sturdy structure, but also with an outstanding view of the surrounding city.Founded in the approximately 12th Century by the Kakatiya Kings, this massive Golconda Fort with eight gates and 87 bastions was later built by Qutub Shahi Kings.The name Golconda Fort has a legend behind it. As per the story, a shepherd boy was once walking on this hill when he had come across a God idol. The news about the shepherd boy and his findings reached the then ruler of Kakatiya Dynasty. The King then decided to built a fort on the hill, which then came to be known as Golconda (Shepherd’s Hill) Fort.However, almost 200 years later, the fort came under Bahamani rulers. Later Qutub Shahi Kings took the fort under their control and extended it further. The fort was fortified and expanded during the reign of Bahamani rulers and Qutub Shahi Dynasty. Later in 1687, this fort came under the rule of Mughal emperor Aurangzeb. It was then the fort was left unattended.At present, the Golconda Fort constitutes a complex layout of palaces, temple mosques and pavilion, all of which unfortunately are in ruins now.Architecture of Golconda FortWith perimeters of around 11 kilometers, the fort has 15 to 18 foot high walls. It has huge gates that have pointed iron spikes on them. This protected the fort from Elephants damaging the fort as well as enemy attacks. Golconda fort presents a mesmerizing architecture which will astonish you at each and every step. This fort has been built on a granite rock with a height of 12 meters. Huge rampart around the golconda fort was built, a glimpse of which can still be seen.The system of acoustics in the Fort is something which attracts each and every visitor. The sound of clapping at the entrance can be heard at the ‘Bala Hissar' which is the highest point and almost a kilometre away. This system was apparently used for communication purposes, especially to alert royal in case of any attack.Other attractive features of the Fort include water supply system which does leave many marvelling at the advancement of the technical and scientific knowledge while constructing this fort. Another popular aspect is the 'Rahban' cannon.Ramdas’ prison is one of the popular spots inside the fort. According to legend, Ramdas who was a revenue collector in Abdul Hasan Shah's court was imprisoned. During his imprisonment, he carved Hindu deities on the wall of his cell. One can see many carvings of Hindu Lord Hanuman on the wall, which are now smeared with holy vermillion. A holy lamp or two (diyas) is also kept lit in front of the carvings."
TANISHK REDDY,5,Golconda is one of the iconic sites in Telengana state. I visited on a cool day and the views of Hyderabad hitech City was very good. It's a must visit place for all ages.
Daniela R,5,Beautiful temple and spectacular view of the lake and surroundings from the top. Does not allow photography so cell phones cannot be brought along.
gani1997,4,its having all ancient tools and culture of the people together. If you are a history and science lover it will be help ful for you ever.
shekharlele,5,"Like other Birla temples across the country, it is an architectural masterpiece. Close to the lake, it is a must visit. However, pls ensure you don't carry any stuff such as mobile phone, umbrella. food, water, etc as nothing is allowed inside. "
SREENIVASAREDDY M,5,"Situated in the middle of green hills, away from city buzzing, with good stay & food arrangements, originally meant for fil. shootings of various locations like  various township locations, gardens, fountains, forts, tempkes, rly Station, bus station, busy areas, parks, zoo, birdirium and incl.of recent blockbuster like BAHUBALI sets also can seen alive.Two days tour actually required to enjoy the serene of this spot. There are various tariff hotels to stay, all sorts if food out let's, any point to any point free bus service etc privileges of this property."
Suresh1976,5,"We had visited this place in Dec. we had a wonderful time in this zoo and my kids enjoyed a lot. This zoo is very big, has lot of animals and different types of birds, reptiles, small fish aquarium.Animals like Cheetah, leopard, tiger, wolf, jackal, hyena, elephants, giraffe, ostrich, we found lots of deer. They have kept different types of birds, peacocks etc. in reptiles we have seen some crocodiles and different types of snakes.It is nicely maintained and it is very clean. Before the entrance there is the proper checking where staff don’t allow anyone to carry plastic bags inside the zoo. After the entrance you will find a mini van service which is quite good if you have old age people with you or if your kids are very small who cannot walk long distance. Zoo is spread in the vast area where you need to walk a long distance to cover all the animals.After the entrance there is toy train also. Ticket is very reasonable. Rs 20 for adult and Rs.10 for child. I advise you to take this toy train, kids will enjoy a lot. It covers the complete zoo area in 25 mins.There is Safari service also but we skipped it because of lot of rush. So better go early so that you don’t miss this safari service.You will not find much eateries inside. You will find ample drinking water and public toilets inside the zoo at various places.You will require full day to enjoy complete zoo but we spent 4 hours and skipped some of the places.We had a wonderful time in this zoo."
Tarun,5,"Really enjoyed the zoo by visiting along with my 8 years and 5 years old kids. Main attractions were the tigers, lion, elephants, hippo, rhino, ostrich etc. Big zoological park which we felt little uncomfortable to walk around. They have vehicles which will be useful if you have infants or toddlers. This place must maintained responsibly throughout the years. Thanks"
sophiarnd,4,As there are lots of trees and the zoo holds a huge area we went for birding. Have to reach early but the zoo isn’t open then so have to just do with late morning birds high up in the big trees. Good place to visit
Rajani B,5,"The Birla Science museum is one of the finest in India. The museum has natural history gallery, planetarium and an Archaelogical and Fine arts gallery. You get to see fossils of Dinosaurs, archaelogical pieces collected from hyderabad and also from across states and learn a lot about the universe. The organisation of the exhibits and the live science experiments are simply awesome."
Manideep Vavila,5,Fully enjoyed all kinds of animals are there it felt like a journey going through forest. We enjoyed a lot in safari drive
Amir Sayeed,2,"There are 2 things; a) it takes longer time for bigger to fill b) there is one jet boat, people wait in queue to go on it. Somehow the aura near the boating place is not that great."
DrKlair,5,Had to buy online ticket .Very steep steps to go up. The view of surrounding crowded bazars and old city is beautiful indeed. Please note no washrooms near Charminar.
Inspire26372226896,4,Rolarcoaster very much good information services good all people are poliaty again  and again  coming
Praveen K,5,this was a place one would love to visit again and again... a beautiul view of teh city and the assembly and the tankbund. a nice center for science related activities. 
Rajesh k,2,"Durgam Cheruvu Lake is a medium sized lake located close to Madhapur and Hitech city in Hyderabad.  This lake and the surrounding park lack maintenance.  Dirt, filth and wild plants have made the place worst.  Not worth a visit until it is cleaned and maintained well."
casandeep,5,If you are visiting Hyderabad this place you must visit. Though you will have to walk a lot but its worth to do so.  Taking a guide along is must if you really want to understand the rich history and the beautiful architecture. How things were visualized 500 years back is simply unbelievable.
Shyamis,4,"Not as good as the other science centers in the country. The ground floor is the best, followed by the doll exhibition and archeology section. The first floor is not as good, especially for young children. The dinosaur is good but not too much to see."
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
rambha b,1,Lack of maintenance and pollution is killing is ages old lake of Hyderabad city located close to Madhapur and Hitec City.  The lake water has turned blackish due to pollutants being left into it.  There is filth around the place. Visit to this place was a waste of time.
Sourabh D,5,"Absolutely a must. Reasonably priced tickets, convenient timings and a very good range of shows, museum artefacts; academic and scientific programs; a planetarium, Arts Musem, 3D science shows for kids."
archie,5,Must visit place in Hyderabad. The atmosphere is very pleasant. I do visit the place veryfrequently. To see the real beauty of the city and hussain sagar lake one must visit the place in the evening.
Ramsha Qureshi,4,"Its a very good place for family and yound children... Where you can see lot of animals,birds,reptiles,amphibians,every kind of animalsTicket for normal daysChildren-30Adults-50On weekendsChildren-40Adults-60"
